Name,Rating
Emanuel Lasker,2821
Jos\xe9 Capablanca,2818
Alexander Alekhine,2778
Akiba Rubinstein,2762
Frank Marshall,2739
Aron Nimzowitsch,2716
Richard Teichmann,2709
Rudolf Spielmann,2707
Siegbert Tarrasch,2701
Carl Schlechter,2697
Milan Vidmar Sr,2689
Ossip Bernstein,2676
Saviely Tartakower,2659
Oldrich Duras,2657
Dawid Janowsky,2646
Gyula Breyer,2628
Lajos Asztalos,2624
Eugene Znosko-Borovsky,2602
Richard R\xe9ti,2588
Grigory Levenfish,2585
Joseph Blackburne,2578
Zolt\xe1n Balla,2577
Moishe Lowcki,2565
Aleksander Flamberg,2563
L\xe9o Forg\xe1cs,2559
Walter John,2558
Erich Cohn,2558
Stepan Levitsky,2558
Frederick Yates,2556
Efim Bogoljubow,2556
K\xe1roly Sterk,2555
Georg Salwe,2554
Adolf Olland,2545
Georg Marco,2540
Oscar Chajes,2538
Johannes Esser,2538
Zsigmond Bar\xe1sz,2538
Paul Johner,2537
Semyon Alapin,2537
Charles Jaffe,2526
Arnold Aurbach,2521
Hans Fahrni,2521
Franti\x9aek Treybal,2517
Sergey Freiman,2507
Ehrhardt Post,2499
Jen\xf6 Sz\xe9kely,2499
Abraham Kupchik,2496
Carl Carls,2494
Edward Lasker,2488
Karel Hrom\xe1dka,2487
Karel Treybal,2482
Paul Kr\xfcger,2476
Rafael Blanco Estera,2474
Jacques Mieses,2472
Isidor Gunsberg,2464
Alexander Evenson,2459
Jan te Kolst\xe9,2459
Bernhard Gregory,2456
Edward Tennenwurzel,2447
Abraham Speijer,2443
Juan Corzo Pr\xedncipe,2443
Gustaf Nyholm,2438
Karel Opocensk\xfd,2425
K. Geus,2424
Fritz Englund,2416
Rudolf Loman,2409
Willem Schelfhout,2324
Arnold van Foreest,2283
